state,rank_happy
Hawaii,1
Utah,2
Minnesota,3
California,4
New Jersey,5
Idaho,6
Massachusetts,7
Maryland,8
Nebraska,9
Connecticut,10
Iowa,11
North Dakota,12
Nevada,13
Virginia,14
New York,15
Delaware,16
Georgia,17
Arizona,18
Colorado,19
Vermont,20
Washington,21
New Hampshire,22
Texas,23
Illinois,24
Wisconsin,25
Pennsylvania,26
South Dakota,27
Florida,28
South Carolina,29
North Carolina,30
Montana,31
Kansas,32
Rhode Island,33
Wyoming,34
Indiana,35
Michigan,36
Ohio,37
Maine,38
Oregon,39
New Mexico,40
Missouri,41
Tennessee,42
Oklahoma,43
Alabama,44
Kentucky,45
Louisiana,46
Mississippi,47
Alaska,48
Arkansas,49
West Virginia,50
