state,rank_rich
Maryland,1
New Jersey,2
Hawaii,3
Massachusetts,4
Connecticut,5
California,6
New Hampshire,7
Alaska,8
Washington,9
Virginia,10
Colorado,11
Utah,12
Minnesota,13
New York,14
Illinois,15
Delaware,16
Rhode Island,17
North Dakota,18
Oregon,19
Wyoming,20
Pennsylvania,21
Vermont,22
Wisconsin,23
Texas,24
Iowa,25
Nebraska,26
Arizona,27
Georgia,28
Nevada,29
Kansas,30
Michigan,31
South Dakota,32
Ohio,33
Indiana,34
Maine,35
Idaho,36
Florida,37
Montana,38
Missouri,39
North Carolina,40
Tennessee,41
South Carolina,42
Oklahoma,43
Kentucky,44
Alabama,45
Louisiana,46
New Mexico,47
Arkansas,48
Mississippi,49
West Virginia,50
